,total,paid_total,balance,breakdowns_labor_0_hours,breakdowns_labor_0_rate,breakdowns_material_0_rate,Slug,Total,Labor0Breakdown_quantity0total0,Labor0Breakdown_hourstotal,Labor0Breakdown_ratetotal,target
430,800.0,800.0,0.0,0.0,0.0,0.0,1252.0,800.0,0.0,0.0,0.0,0
431,1834.0,1834.0,0.0,0.0,0.0,0.0,1253.0,1834.0,0.0,0.0,0.0,0
432,10532.0,10532.0,0.0,0.0,0.0,0.0,1254.0,10532.0,0.0,0.0,0.0,0
433,15000.0,15000.0,0.0,0.0,0.0,0.0,1262.0,15000.0,0.0,0.0,0.0,0
434,5685.0,5685.0,0.0,0.0,0.0,0.0,1263.0,5685.0,0.0,0.0,0.0,0
435,3795.0,0.0,3795.0,0.0,0.0,0.0,1265.0,3795.0,0.0,0.0,0.0,0
436,3500.0,3500.0,0.0,0.0,0.0,0.0,1266.0,3500.0,0.0,0.0,0.0,0
437,937.0,937.0,0.0,0.0,0.0,0.0,1267.0,937.0,0.0,0.0,0.0,0
438,3900.0,3900.0,0.0,0.0,0.0,0.0,1268.0,3900.0,0.0,0.0,0.0,0
439,1324.0,1324.0,0.0,0.0,0.0,0.0,1270.0,1324.0,0.0,0.0,0.0,0
440,14455.0,14455.0,0.0,0.0,0.0,0.0,1271.0,14455.0,0.0,0.0,0.0,0
441,3470.0,3470.0,0.0,0.0,0.0,0.0,1276.0,3470.0,0.0,0.0,0.0,0
442,9000.0,0.0,9000.0,0.0,0.0,0.0,1277.0,9000.0,0.0,0.0,0.0,0
443,2735.0,2735.0,0.0,0.0,0.0,0.0,1281.0,2735.0,0.0,0.0,0.0,0
444,906.0,906.0,0.0,0.0,0.0,0.0,1284.0,906.0,0.0,0.0,0.0,0
445,2585.0,2585.0,0.0,0.0,0.0,0.0,1285.0,2585.0,0.0,0.0,0.0,0
446,3575.0,3575.0,0.0,0.0,0.0,0.0,1286.0,3575.0,0.0,0.0,0.0,0
447,855.0,855.0,0.0,0.0,0.0,0.0,1287.0,855.0,0.0,0.0,0.0,0
448,0.0,24506.0,-24506.0,0.0,0.0,0.0,1299.0,0.0,0.0,0.0,0.0,0
449,0.0,2768.0,-2768.0,0.0,0.0,0.0,1301.0,0.0,0.0,0.0,0.0,0
450,0.0,5600.0,-5600.0,0.0,0.0,0.0,1303.0,0.0,0.0,0.0,0.0,0
451,0.0,15014.0,-15014.0,0.0,0.0,0.0,1305.0,0.0,0.0,0.0,0.0,0
452,5500.0,5500.0,0.0,0.0,0.0,0.0,1317.0,5500.0,0.0,0.0,0.0,0
453,19500.0,19500.0,0.0,0.0,0.0,0.0,1318.0,19500.0,0.0,0.0,0.0,0
454,25600.0,25600.0,0.0,0.0,0.0,0.0,1319.0,25600.0,0.0,0.0,0.0,0
455,34500.0,34500.0,0.0,0.0,0.0,0.0,1321.0,34500.0,0.0,0.0,0.0,0
